t|b
BERN 伯尔尼 中餐 找 楼面|" 本 帖 最后 由 LOAH168 于 2011-7-1914:58 编辑
9 月 开始 ， 提供 住宿 ， 男女 不 限 ， 有 学生 或 工作证 ， 德语 好 的 优先 。
电话 0765220384
谢谢 ~ ~ ~ "
餐厅 招 实习生|你好 ， 本 餐厅 在 lausanne ， 想 在 7 月 底 8 月 初 招聘 一 名 女 学生 ， 有 住宿 ， 实习期 为 6 个 月 。 请 有意者 致电 07883 13927 ， 或 maxuefei888@ hotmail.com , 谢谢 。
招聘 针灸 推拿 中医师|招聘 针灸 推拿 中医师 瑞士 中医 诊所 中医 两 名 ， 男女 不限 ， 30-50 岁 ， 持有 瑞士 或 欧洲 居留证 ， 各种 中医 证书 齐全 ， 工作 经验 丰富 ， 有 良好 的 工作 态度 以及 团队 合作 精神 。 待遇 优厚 。 有意者 请将 个人 简历 发 至 worldlife@ yahoo.cn 瑞士 中医 诊所 中医 两 名 ， 男女 不限 ， 30-50 岁 ， 持有 瑞士 或 欧洲 居留证 ， 各种 中医 证书 齐全 ， 工作 经验 丰富 ， 有 良好 的 工作 态度 以及 团队 合作 精神 。 待遇 优厚 。 有意者 请将 个人 简历 发 至 worldlife@ yahoo.cn 瑞士 中医 诊所 中医 两 名 ， 男女 不限 ， 30-50 岁 ， 持有 瑞士 或 欧洲 居留证 ， 各种 中医 证书 齐全 ， 工作 经验 丰富 ， 有 良好 的 工作 态度 以及 团队 合作 精神 。 待遇 优厚 。 有意者 请将 个人 简历 发 至 worldlife@ yahoo.cn 瑞士 中医 诊所 中医 两 名 ， 男女 不限 ， 30-50 岁 ， 持有 瑞士 或 欧洲 居留证 ， 各种 中医 证书 齐全 ， 工作 经验 丰富 ， 有 良好 的 工作 态度 以及 团队 合作 精神 。 待遇 优厚 。 有意者 请将 个人 简历 发 至 worldlife@ yahoo.cn
苏黎世 Oerlikon 亚洲 快餐 partime 请人|" 受 朋友 所托 ， 想 请 一 或者 两 人 会 做 寿司 和 泰国 菜 的 ， 在 她 的 快餐店 帮忙 。 时间 比较 灵活 ， 大概 是 午饭 之前 和 晚饭 之前 ， 2-3 个 小时 。
具体 情况 请 联系 高 女士 0763 3993 12."
找人 制作 网站|找 人 帮 我 制作 一个 餐厅 网站 . 找 老外 做 的 不好 还 贵 . 有 中国 学生会 做 的 赚 点 零花钱 啊 .
日内瓦 中餐馆 招聘 计时 服务员 （ 已 找到 ）|" 本 帖 最后 由 困 困于 2011-7-1219:12 编辑
替 友 发帖 。
日内瓦 一 中餐馆 招聘 计时 服务员 ， 工作 时间 是 周 一 至 周五 中午 12:00-14:00 。 要求 会 基本 法语 和 英语 ， 学生 优先 。
详情 请 致电 0223432448 咨询 ， 谢谢 。 "
|
招 杂工 , 最好 有 点 装修 经验|不 要 任何 证 , 可以 包 吃 包住 . 可以 整 工 ( 星期一 到 星期五 ) 可以 钟点 , 地点 Biel- Bienne , 联系 0764 351333
招聘 针灸 推拿 中医师|瑞士 中医 诊所 中医 两 名 ， 男女 不限 ， 30-50 岁 ， 持有 瑞士 或 欧洲 居留证 ， 各种 中医 证书 齐全 ， 工作 经验 丰富 ， 有 良好 的 工作 态度 以及 团队 合作 精神 。 待遇 优厚 。 有意者 请将 个人 简历 发 至 worldlife@ yahoo.cn
vevey 中 泰餐 招聘 服务员 和 帮厨|有 证件 会 法语 有 经验 者 优先 , 有意者 请 致电 0765852599 , 或 0767 945508
圣加仑 大学 招 口译 翻译 （ 德 <- > 中 ）|" 圣加仑 大学 中 瑞 合作 管理 培训 项目 将 在 2011 年 9 月 12 日 至 13 日 在 Luzern 举办 一年一度 的 “ 中 瑞 论坛 ” 。 以便 两 国 双方 会员 的 交流 与 沟通 ， 我们 将 需要 几 名 精通 中 、 德文 的 学生 在 茶歇 、 午饭 的 休息 时间 内 做 口译 。 有关 中 瑞 项目 ， 请 拜访 ： www.sino-swiss.unisg.ch 工作 时间 , 待遇 :
9 月 12 日 : 9.30 – 17.00 , Pauschal CHF 150.- inkl.Lunch
9 月 13 日 : 9.30 – 19.30 , Pauschal CHF 200.- inkl.Lunch 切莫 错过 这个 与 中瑞 企业 高级 领导 结识 、 切磋 的 好 机会 。 感 兴趣 的 朋友 请 与 我们 联系 ： sino-swiss@unisg.ch "
|
招聘 酒店 管理 女 学生|" 本 帖 最后 由 visclou 于 2011-7-1623:19 编辑
你们 好 ， 本 中餐厅 在 lausanne 北边 ， 想 在 7 月 底 8 月 初 招聘 一 名 女 学生 ， 有 住宿 ， 实习期 6 个 月 。 请 有意者 致电 07883 13927 ， 或 maxuefei888@ hotmail.com , 谢谢 。 "
洛桑市 中心 日本 餐厅 招聘 服务员 2 名|" 洛桑市 中心 日本 餐厅 招聘 服务员 2 名 （ 一 名 partime ， 和 一 名 全工 ）
要求 ， 需要 有 证件 ， 会 基本 法语 ， 熟手 优先
请 联系 电话 0765830617 takaaki@ live.cn "
招 大厨|法区 中餐 招聘 大厨 1 名 ， 工作 时间 7 月 18 日 到 8 月 13 日 。 有意者 请 发 邮件 至 lifeinswiss@ hotmail.com.
找 楼面|急需 找 一 名 楼面 , 有 一两 年 的 工作 经验 , 包 吃 包住 . 有 意者 请 联系 076 3268890
LUZERN 中餐厅 招聘 男 服务员 一 名|要 不 要 女生 的
招聘 楼面|"vevey 中心 中 泰餐 馆 招聘 楼面 1 到 2 名
有 经验 有 证件 者 优先 。
具体 细节 请 咨询 0765852599"
招聘 中医 两 名|瑞士 中医 诊所 中医 两 名 ， 男女 不限 ， 30-50 岁 ， 持有 瑞士 或 欧洲 居留证 ， 各种 中医 证书 齐全 ， 工作 经验 丰富 ， 有 良好 的 工作 态度 以及 团队 合作 精神 。 待遇 优厚 。 有意者 请将 个人 简历 发 至 worldlife@ yahoo.cn
寻 ： 普通话 标准 ， 瑞士 合法 居留 达 一 年 以上 ， 兼职|通讯员 ???????? /
有 会 化妆 的 人 ， 需求 半 天 化妆|6 月 22 日 ， 下午 前往 依 云 小镇 ， 去 化妆 ， 路费 全 报销 ， 如果 有 兴趣 请 联系 ： 0767 176299. 杨 小姐 。 价钱 电话 联系 。 最好 是 洛桑 ， 日内瓦 的 人 。 其他 地方 的 也 可以 考虑 。 价钱 比较 高 ， 有 意者 联系
打零工 机会|" 欧 亚 立信 旅游 公司
招 男 ， 女 part-time
最好 是 学生
会 基本 法语
工作 ： 接待 国内 展会 来人 （ 陪 吃陪喝 ）
时间 ： 3 月 20-30 日 （ 如 只有 1 ， 2 天 时间 也 可 ）
每日 8-9 小时 ， 超出 按 加班 付 工资
有意者 请 与 欧 亚 立信 公司 联系
tel : 022-7337713
email : info@eurasie.ch "
Re : 急 寻 德国 伯尔尼 翻译 一 名 （ 德语 - 中文 翻译 ）|" 公務 翻譯 是 要
fachwoerter 嗎 "
有 会 化妆 的 人 ， 需求 半 天 化妆|6 月 22 日 ， 下午 前往 依 云 小镇 ， 去 化妆 ， 路费 全 报销 ， 如果 有 兴趣 请 联系 ： 0767 176299. 杨 小姐 。 价钱 电话 联系 。 最好 是 洛桑 ， 日内瓦 的 人 。 其他 地方 的 也 可以 考虑 。
basel 招聘 女 實習 生 楼面 一 名|" 本 帖 最后 由 benny 248 于 2011-6-1623:52 编辑
代 朋友 發帖 , basel 火車站 附近 一 中餐馆 7 月 底 招聘 女 實習 生 楼面 一 名 （ 包 食宿 ）
电話 ﹕ 061-3612828 "
招聘 楼面 日内瓦|" 日内瓦 火车站 附近 中餐馆 招聘 楼面
长工 短工 临时工 均 可 ， 要 来 试工
有 经验 者 优先 ， 欢迎 酒店 学校 学生 来 实习 或者 7 , 8 月 短期 工
有 兴趣 者 站 内 信 或者 niccyswiss@ gmail.com"
招 酒店 实习生 2 到 3 名|" 洛桑市 中心 餐厅 招聘 招 酒店 实习生 2 到 3 名
可以 提供 住宿
待遇 好 ， 有 实习 经验 的 ， 和会 法语 的 优先
请 寄 简历 到 takaaki@ live.cn "
需要 翻译 一 名|可惜 人 在 basel ， 要不然 还 可以 去
帮 老板 找 楼面 ， 日内瓦 ， 急|" 我 在 帮 老板 找 楼面 ， 需要 有 证 的 ， 最 好 之前 有 做 过 中餐馆 的
基础 法语 英语 ， 餐馆 在 日内瓦
6 月 以后 就 可以 开始 工作 ， 短工 长工 都 可以 ， 男女 不 限
非常 着急
有 兴趣 的 请 站 内 信 或者 留言
邮箱 niccyswiss@ gmail.com"
GENEVA 中 法 家庭 旅游 6 月 17 ， 18 ， 19 找 保姆|" 我们 是 住 在 法国 巴黎 的 中 法 家庭 ，
6 月 的 17 ， 18 ， 19 号 定 了 机票 去 GENEVA 度假 ，
希望 找 一 保姆 帮忙 带 我们 的 一 对 孩子 ，
女孩 3 岁 半 ， 男孩 一 岁 。
如 兴趣 请 邮件 联系 hiverbebe@hotmail.com
thanks"
日内瓦 餐馆 请 临时 工|日内瓦 中餐 需要 一 名 有 经验 的 替工 ， 做 露面 ， 从 6 月 27 到 7 月 26 ， 一个 月 时间 ， 有意思 者 请 拨打 0227326868 ， 谢谢 ，
洛桑市 中心 日本 餐厅 招聘 服务员 2 名|" 本 帖 最后 由 takaaki 于 2011-6-715:33 编辑
洛桑市 中心 日本 餐厅 招聘 服务员 2 名 （ 一 名 partime ， 和 一 名 全工 ）
要求 ， 会 基本 法语 ， 熟手 优先
请 联系 电话 0765830617 takaaki@ live.cn "
工作 机会 找 导游|" 由于 季节性 的 需要 ， 本人 需要 导游 X 名 。 要求 如下 ：
- 没有 口吃 能 说 流利 的 普通话
- 需 熟悉 瑞士 基本 情况
- 了解 城市 道路 熟悉 景点
- 有 合法 驾照 能 开车 最 好
- 有 工作 经验 的 优先
大家 有 问题 ， 欢迎 大家 在 这个 帖子 里 提问 。 有 问 必 答 。 如果 有 不便 公开 回答 的 。 就 会议 短 信 或 面议 的 方式 回答 。 "
急 找 有 证 , 有 经验 的 人 做 楼面|" 再 发 一 次 ， 望 版主 体谅 急切 的 心情
看到 的 人 ， 也 帮忙 顶 哈 吧
在 法语 区 ， morges 附近 。 是 新 开 的 店子 。 可 包 吃 住 ！ 要 证 ， 给 交 税 ! 有 经验 的 人 . 男 ， 女 都 可 . 老外 也 行
我 也 是 帮 人 找 ， 所以 若 有 想法 就 直接 打电话 询问 更 好
联系 方式 ： 076 2015876."
|
餐厅 招聘 实习生|" 本 帖 最后 由 MatthewYc 于 2011-6-219:09 编辑
有意者 电联 0767 945508"
餐厅 找 学生|包 吃 住 ， 要求 会 德语 ， 有 经验 优先 ， 电话 07888900 42
招聘 楼面|" 本 帖 最后 由 惜 花 踏月 于 2011-4-160 1:52 编辑
代 人 发帖
法区 中餐馆 招收 一 位 女服务员 ， 要求 略 有 工作 经验 即 可 ， 如 有意者 ， 请 拨 打电话 ： 0767890734 ， 电话 详谈 。
已 招到 人 了 ， 谢谢 各位 的 关注 ！ "
招聘 ~ ~|招聘 厨房 帮厨 一 名 ， 周末 或 全职 。 工资 面议 ~ 有意者 请 联系 0763 287122 或 0244814141. 谢谢
中餐馆 招 厨师|Lausanne 中餐馆 招 厨师 和 樓面 , 有証 , 請电 02 13 127989 ( 2pm-6pm )
寻 创业 伙伴 （ 中文 专业 期刊 和 网站 ）|" 也 在 瑞士 的 一个 朋友 想 创建 一个 中文 专业 期刊 和 网站 ， 特 寻找 创业 合作 伙伴 ：
1 。 你 是 不 是 衣食无忧 ？
2 。 瑞士 的 生活 对 你 来说 是 不 是 太 安逸 了 ？
3 。 你 心中 是 不 是 还有 未 熄灭 的 创业 梦想 ， 期望 不 远 的 将来 可以 突破 自己 ？
4 。 你 是 不 是 有 足够 的 业余 时间 ？
5 。 你 能 不 能 为 一个 呱呱 坠地 新生 期刊 贡献 自己 的 力量 （ 文字 编辑 ， 视觉 设计 ， 网站 维护 ， 。 。 。 ）
如果 你 对 上面 的 答案 都 是 "" yes"" ， 请 联系 我 （ 站 内 短 信 或 邮件 ） 。 "
已 找到 人 了 ， 谢谢|" 本 帖 最后 由 dessert 于 2011-5-2518:48 编辑
拜拜 "
|
餐馆 找 学生|" 本 帖 最后 由 freesky 于 2011-5-2801:35 编辑
LUZERN 要求 会 德语 有 工作 经验 ， 待遇 面议 联系 电话 0788890042 "
洛桑咖啡店|洛桑咖啡店 要 服务生 【 需要 有 证的 】 079502 4787 ， 祝 你们 好运 ！
急 寻 伯尔尼 陪同 翻译|關 於結 婚 面試 的 場合嗎 ?
苏黎世 Glattbrug /opfikon 华人 美容 美发 中医 店 招 按 摩工|招聘 一 名 女性 会 放松 按摩 的 ， 有 无 经验 均 可 。 没有 色情 服务 。 。 有意者 联系 ： 0763838168
Urgent 公务 翻译 一 名|"19 , 20 , 21 May ( May be also 23 , 24 May ) 伯尔尼 寻 公务 翻译 一 名 .
时间 ： 09:00-17:00 ( 8-10 Hours a day.)
地点 ： Langertral
内容 ： 公务 翻译 一 名
要求 ： 德语 过硬 ， 英语 有 基础 . 德语 > < Chinese
酬劳 ： Very good !
有意者 尽快 联系 ： Mob tel : 0794008988
e.mail : ftegmbh@ hotmail.com"
卢塞恩 中餐 招聘 跑堂 一 名|" 餐厅 希望 通过 这次 招聘 能 找到 一 位 可以 长期 合作 的 同事 ！
1 ： 有 一定 的 德语 基础
2 ： 不 限 男女
3 ： 有 无 餐馆 的 工作 经验 无所谓
4 ： 具体 的 工资 待遇 根据 个人 的 能力 而 定 （ 必须 面议 ）
对 我们 招聘 项目 有 兴趣 的 朋友 可以 通过 一下 方式 联系 我们 ：
TEL : 0041-9703514
QQ : 1120670303
Email : changcheng-willisau@ hotmail.com
也 可以 通过 我们 的 网页 进行 了解 ： www.changcheng-willisau.ch "
找 清洁工|一个 瑞士 朋友 想 找 清洁 小时工 。 KLOTEN 附近 。 一个 月 大概 1 到 2 次 。 也 就 挣点 零花钱 。 谁 愿意 的 冒 个 泡 。 。 (s2115a)
瑞士 百达翡丽 在 哪里 买 稍微 便宜 点 啊|" 如 题 ，
先 在 这里 谢谢 大家 的 信息 了 "
寻 苏黎世 5 月 20 号 下午 英语口语 流利 临时 翻译|" 因为 与 外方 中学 有 一 场 交流 会议 招聘 临时 英语口语 翻译 一 名
要求 ： 英语口语 流利
会议 时间 ： 5 月 20 号 下午 14 点 开始 估计 在 两 小时 之内 结束
主题 ： 中学 方面
报酬 ： 联系 上 谈
支付 方式 ： 翻译 结束 现场 支付
联系 方式 ： QQ ： 104 3015115
MSN/mail : omylxs@ hotmail.com"
苏黎士 餐馆 招聘 楼面 ( 长工 和 学生 实习 )|请问 招 不 招 parttime 的 呢
找 楼面 * 对不起 大家 了 , 之前 电话 号码 弄 错 了|" 本 帖 最后 由 Victoria.s 于 2011-5-1000:26 编辑
找 楼面 一 名 ， 可以 打电话 联系 0767574397 "
|
招聘 法语 区 中 法 / 法 中医 疗 以及 会议 公务 口译 翻译|" 招聘 法语 区 中 法 / 法 中医 疗 公务 以及 会议 公务 口译 翻译 。
地点 : 法语 区
时间 : 每周 工作 1 到 两 次 , 半 天 的 或者 全天 的 ， 一般 是 早上 ， 工作 时间 不 定 。
薪酬 : 很 丰厚 ， 面议 。 要求 相貌 端正 ， 精通 工作 语言 ， 善于 交流 ， 态度 认真 和 谨慎 。
请 感 兴趣 的 朋友 ， 把 带有 照片 的 中文 和 法语 CV 各 一 份 ， 联系 方式 等 发 邮件 给 我 。
邮件 地址 lingjia_gu@ hotmail.com 谢谢 。 "
请 摄影 爱好者 一 名|请问 下 ， 洛桑 （ 或者 附近 ） 有 摄影 爱好者 嘛 ， 可以 联系 我 ， lh_121@ hotmail.com ， 何 四 。 帮忙 摄影 时间 未定 ， 给 工资 。 有意者 请 邮件 我 。
有偿 请人 搬家 ！|如 题 ， 地点 从 AIGLE 到 苏黎世 的 OPFIKON ， 需要 有 车 ， 时间 ： 越快 越 好 ， 有 兴趣 的 朋友 打电话 0789088898 ， 或者 跟 帖 报 价格 。 。 谢谢 ！
招聘 专业 翻译 . 急需 答复|" 我 公司 位于 中国 大陆 现 因 需 拓展 欧洲 业务 所以 急需 1 位 女性 翻译 陪同 到 瑞士 , 德 意 法 等 申根 国家 出差 1 ~ 2 周 . 招聘 条件 : 精通 英文 ( 因 涉及 合同 签署 事务 , 所以 最 好 水平 可以 达到 专业 级 ) , 略 懂 法文 , 德文 , 意大利语 . 除此 以外 , 需 处事 小心谨慎 并且 沟通 技术 良好 .
工作 细节 与 条件 商讨 请 与 我 联系 EMAIL ADD : pierrelui@hotmail.com
look foward your kindly answer.
( s2143a ) "
|
卢塞恩 中餐馆 招 厨师|" 招 炒锅 有 经验 厨师 。
电话 ： 0787 393598 "
日内瓦 绘画 工作室 招 助手|" 日内瓦 绘画 工作室 诚聘 女 绘画 助手 一 名 , 从事 拷贝 , 复印 和 简单 图画 处理 , 此 工作 并 不 需 很 强 的 绘画 基础 , 但 要求 对 工作 能 耐心 和 仔细 , 有 诚 意者 请 电话 联系 邱 老师 : 0763801622 ( 招聘 广告 截至 3 月 底 有效 )
本人 是 代 人 发帖 , 询问者 请 直接 联系 邱 老师 ."
招聘 职位 - 带 小孩|招聘 诚聘 一 位 保姆 ， 帮忙 照看 一个 两 岁 半 的 小 男孩 ， 孩子 很 聪明 ， 精力 充沛 。 孩子 每天 上午 8：30 – 12：30 上 幼儿园 ， 希望 保姆 的 工作 时间 为 12：30 – 18：30 。 希望 应聘者 年龄 在 30-50 岁 ， 普通话 流利 ， 最 好 自己 有 小孩子 ， 有 相关 的 工作 经验 ， 最好 是 幼儿 教育 的 经验 。 有 耐心 和 爱心 ， 注重 与 孩子 的 交流 和 沟通 ， 喜欢 讲 故事 做 游戏 等等 ， 愿意 带 孩子 积极 参加 户外 活动 ， 鼓励 其 与 其他 小孩子 的 互动 。 工作 时间 从 九月 初 开始 ， 工资 面议 。 请 有意者 联系 彭 女士 ： + 41789442092 。 谢谢 。
诚聘 保姆 一 名|" 本 帖 最后 由 tango 于 2011-4-3015:12 编辑
招 保姆 一 名 ， 有 爱心 懂得 照顾 孩子 爱 干净 的 ， 条件 条件 面谈 。 联系 方式 0765877188"
找 楼面|找 刚 出来 女 的 ， 可以 不 会 做 ， 不 会 说
日内瓦 纺织 展 急 找 翻译 ， 4 月 13 、 14 、 15 号|日内瓦 纺织 展 找 翻译 一 名 ， 4 月 13 、 14 号 全 天 ， 4 月 15 日 半 天 ， 中 英 或 中 法 都 可以 ， 150 瑞郎 / 天 ， 感兴趣者 请 尽快 打电话 0767662347 郭 先生 。
苏黎世 找 实习 女 学生|" 苏黎世 一 家 中餐馆 找 实习 女 学生 。
电话 ： 0794389517
麻烦 大家 直接 打电话 过去 ， 不要 在 网上 问 "
找 中餐 厨师|找 中餐 厨师 一 名 ， 联系 电话 07888900 42
|
找 厨师 工作|本 人 在 中国 有 十几 年 的 厨师 工作 经验 ， 有 需要 厨师 的 加 我 QQ 510317608 谢谢 ( s2143a)
|
找 大厨 ！ 二 厨 ~ ！|" 本 帖 最后 由 lam 于 2011-2-418:28 编辑
急需 大 厨 二 厨 各 一 名 . 有 居留 者 优先 . 电 话 .02 13201818.0765850629 地址 洛桑 . 待遇 面议 . 急 急急 (s2117a)"
招 厨房|" 餐馆 位于 lausanne 郊区 ， 招 洗 碗 长工 一 名 ， 没有 经验 的 勿扰 ， 包 吃 不 包 住 。 住 sallaz 附近 优先
电话 0799566408 下午 2 点 到 凌晨 2 点 之间 有人 接 电话 "
找人 做 家务 或 看 孩子|我 家里 有 一个 一 岁 的 孩子 ， 想 找 人 帮忙 做 家务 或者 看孩子 。 每周 能 来 3 次 ， 时间 可以 商定 。 家 在 luzern 和 zug 之间 ， 离 苏黎世 也 不 是 很 远 。 最 好 会 开车 。 有意者 请 打电话 ： 041787 1171 李 女士 。 谢谢 ！
招聘|" 苏黎世 10 区 招 一 位 熟手 楼面 ， 限 女生 ， 工作 时间 周 一 到 周五 中午 ， 有意者 请 电话
0765877188"
工厂 工作|" 本 帖 最后 由 我 爱 熊猫 于 2011-4-619:48 编辑
Nr : 182763 Produktionsmitarbeiterinnen
Betriebsarbeiterin
Stellenbeschrieb : -R ü sten , waschen und schneiden von Salat und Gem ü se
-Antritt nach Vereinbarung
-Arbeit bei K &auml ; lte ( bis 4 Grad Celsius )
- FIxlohn von CHF 18.-
- Schichtarbeit , eigenes Auto ist Pflicht
- nur FrauenFrei ab : ab sofortVertragsdauer : unbefristetAlter : 18-50Arbeitsort : D&auml ; llikon Erfahrung : keine Erfahrung
Sprachen : Deutsch : m ü ndlich : sehr gut ; schriftlich : sehr gut
Besch&auml ; ftigungsgrad : 100% Bewerbungsart : schriftlich
elektronisch
Privates Fahrzeug : erforderlichFahrzeugkategorie : BAdresse : Trabeco AG
Herr Odilo von Ins
Langstrasse 187
8005 Z ü rich
Webseite : http : //www.trabeco.chFax Unternehmen : 0442731009 Telefon Kontaktperson : 0442791515E-Mail Kontaktperson : odilo.vonins@trabeco.chDatum : 05.0 4.2011 G ü ltig bis : 05.0 5.2011 Nr : 182763 Produktionsmitarbeiterinnen
Betriebsarbeiterin
Stellenbeschrieb : -R ü sten , waschen und schneiden von Salat und Gem ü se
-Antritt nach Vereinbarung
-Arbeit bei K &auml ; lte ( bis 4 Grad Celsius )
- FIxlohn von CHF 18.-
- Schichtarbeit , eigenes Auto ist Pflicht
- nur FrauenFrei ab : ab sofortVertragsdauer : unbefristetAlter : 18-50Arbeitsort : D&auml ; llikon Erfahrung : keine Erfahrung
Sprachen : Deutsch : m ü ndlich : sehr gut ; schriftlich : sehr gut
Besch&auml ; ftigungsgrad : 100% Bewerbungsart : schriftlich
elektronisch
Privates Fahrzeug : erforderlichFahrzeugkategorie : BAdresse : Trabeco AG
Herr Odilo von Ins
Langstrasse 187
8005 Z ü rich
Webseite : http : //www.trabeco.chFax Unternehmen : 0442731009 Telefon Kontaktperson : 0442791515E-Mail Kontaktperson : odilo.vonins@trabeco.chDatum : 05.0 4.2011 G ü ltig bis : 05.0 5.2011 Nr : 182763 Produktionsmitarbeiterinnen
Betriebsarbeiterin
Stellenbeschrieb : -R ü sten , waschen und schneiden von Salat und Gem ü se
-Antritt nach Vereinbarung
-Arbeit bei K &auml ; lte ( bis 4 Grad Celsius )
- FIxlohn von CHF 18.-
- Schichtarbeit , eigenes Auto ist Pflicht
- nur FrauenFrei ab : ab sofortVertragsdauer : unbefristetAlter : 18-50Arbeitsort : D&auml ; llikon Erfahrung : keine Erfahrung
Sprachen : Deutsch : m ü ndlich : sehr gut ; schriftlich : sehr gut
Besch&auml ; ftigungsgrad : 100% Bewerbungsart : schriftlich
elektronisch
Privates Fahrzeug : erforderlichFahrzeugkategorie : BAdresse : Trabeco AG
Herr Odilo von Ins
Langstrasse 187
8005 Z ü rich
Webseite : http : //www.trabeco.chFax Unternehmen : 0442731009 Telefon Kontaktperson : 0442791515E-Mail Kontaktperson : odilo.vonins@trabeco.chDatum : 05.0 4.2011 G ü ltig bis : 05.0 5.201 1"
